"iata","airport"
"AUO","Auburn University Regional Airport"
"AUP","Agaun Airport"
"AUQ","Atuona Airport"
"AUR","Aurillac - Tronquieres Airport"
"AUS","Austin-Bergstrom International Airport"
"AUT","Atauro Airport"
"AUU","Aurukun Airport"
"AUV","Aumo Airport"
"AUW","Wausau Downtown Airport"
"AUX","Araguaina Airport"
"AUY","Anatom Airport"
"AUZ","Aurora Municipal Airport"
"AVA","Anshun Huangguoshu Airport"
"AVB","Aviano Air Base"
"AVG","Auvergne Airport"
"AVI","Maximo Gomez  Airport"
"AVK","Arvaikheer Airport"
"AVL","Asheville Regional Airport"
"AVN","Avignon - Provence Airport"
"AVO","Avon Park Executive Airport"
"AVP","Wilkes-Barre/Scranton International Airport"
"AVU","Avu Avu Airport"
"AVV","Avalon Airport"
"AVW","Marana Regional Airport"
"AVX","Catalina Airport"
"AWA","Awasa Airport"
"AWB","Awaba Airport"
"AWD","Aniwa Airport"
"AWE","Alowe Airport"
"AWK","Wake Island Airfield"
"AWM","West Memphis Municipal Airport"
"AWN","Alton Downs Airport"
"AWP","Austral Downs Airport"
"AWR","Awar Airport"
"AWZ","Ahvaz International Airport"
"AXA","Clayton J. Lloyd International Airport"
"AXB","Maxson Airfield"
"AXC","Aramac Airport"
"AXD","Alexandroupoli Airport (Dimokritos Airport)"
"AXE","Xanxerê - João Winckler Airport"
"AXF","Alxa Left Banner Bayanhot Airport"
"AXG","Algona Municipal Airport"
"AXJ","Amakusa Airfield"
"AXK","Ataq Airport"
"AXL","Alexandria Homestead Airport"
"AXM","El Eden International Airport"
"AXN","Alexandria Municipal Airport (Chandler Field)"
"AXP","Spring Point Airport"
"AXR","Arutua Airport"
"AXS","Altus/Quartz Mountain Regional Airport"
"AXT","Akita Airport"
"AXU","Axum Airport"
"AXV","Neil Armstrong Airport"
"AXX","Angel Fire Airport"
"AYA","Ayapel Airport"
"AYC","Ayacucho Airport"
"AYD","Alroy Downs Airport"
"AYG","Yaguara Airport"
"AYI","Yari Airport"
"AYK","Arkalyk Airport"
"AYL","Anthony Lagoon Airport"
"AYM","Yas Island Seaplane Base"
"AYN","Anyang Airport"
"AYO","Juan de Ayolas Airport"
"AYP","Coronel FAP Alfredo Mendivil Duarte Airport"
"AYQ","Ayers Rock Airport"
"AYR","Ayr Airport"
"AYS","Waycross-Ware County Airport"
"AYT","Antalya Airport"
"AYU","Aiyura Airport"
"AYW","Ayawasi Airport"
"AYX","Tnte. Gral. Gerardo Perez Pinedo Airport"
"AYY","Arugam Bay Seaplane Base"
"AZA","Phoenix-Mesa Gateway Airport"
"AZB","Amazon Bay Airport"
"AZD","Shahid Sadooghi Airport"
"AZG","Pablo L. Sidar Airport"
"AZI","Al Bateen Executive Airport"
"AZL","Fazenda Tucunare Airport"
"AZN","Andizhan Airport"
"AZO","Kalamazoo/Battle Creek International Airport"
"AZP","Jorge Jimenez Cantu National Airport"
"AZR","Touat-Cheikh Sidi Mohamed Belkebir Airport"
"AZS","Samana El Catey International Airport"
"AZT","Zapatoca Airport"
"AZZ","Ambriz Airport"
"BAA","Bialla Airport"
"BAB","Beale Air Force Base"
"BAC","Barranca de Upia Airport"
"BAD","Barksdale Air Force Base"
"BAE","Barcelonnette - Saint-Pons Airport"
"BAF","Westfield-Barnes Regional Airport"
"BAG","Loakan Airport"
"BAH","Bahrain International Airport"
"BAI","Buenos Aires Airport"
"BAJ","Bali Airport"
"BAL","Batman Airport"
"BAM","Battle Mountain Airport (Lander County Airport)"
"BAN","Basongo Airport"
"BAP","Baibara Airport"
"BAQ","Ernesto Cortissoz International Airport"
"BAR","Qionghai Bo'ao Airport"
"BAS","Balalae Airport"
"BAT","Chafei Amsei Airport"
"BAU","Bauru Airport"
"BAV","Baotou Airport"
"BAW","Biawonque Airport"
"BAX","Barnaul Airport"
"BAY","Baia Mare Airport"
"BAZ","Barcelos Airport"
"BBA","Balmaceda Airport"
"BBB","Benson Municipal Airport"
"BBC","Bay City Municipal Airport"
"BBD","Curtis Field"
"BBG","Butaritari Atoll Airport"
"BBH","Stralsund-Barth Airport"
"BBI","Biju Patnaik International Airport"
"BBJ","Bitburg Airport "
"BBK","Kasane Airport"
"BBL","Ballera Airport"
"BBM","Battambang Airport"
"BBN","Bario Airport"
"BBO","Berbera Airport"
"BBP","Bembridge Airport"
"BBQ","Barbuda Codrington Airport"
"BBR","Baillif Airport"
"BBS","Blackbushe Airport"
"BBT","Berberati Airport"
"BBV","Nero-Mer Airport"
"BBW","Broken Bow Municipal Airport"
"BBX","Wings Field"
"BBY","Bambari Airport"
"BBZ","Zambezi Airport"
"BCA","Gustavo Rizo Airport"
"BCB","Virginia Tech Montgomery Executive Airport"
"BCC","Bear Creek 3 Airport"
"BCD","Bacolod-Silay International Airport"
"BCE","Bryce Canyon Airport"
"BCF","Bouca Airport"
"BCG","Bemichi Airport"
"BCH","Baucau Airport"
"BCI","Barcaldine Airport"
"BCK","Bolwarra Airport"
"BCL","Barra del Colorado Airport"
"BCM","Bacau International Airport"
"BCN","Barcelona El Prat Airport"
"BCO","Baco Airport (Jinka Airport)"
"BCP","Bambu Airport"
"BCQ","Brak Airport"
"BCR","Novo Campo Airport"
"BCS","Southern Seaplane Airport"
"BCT","Boca Raton Airport"
"BCU","Bauchi State Airport"
"BCV","Hector Silva Airstrip"
"BCW","Benguerra Island Airport"
"BCX","Beloretsk Airport"
"BCY","Bulchi Airport"
"BCZ","Bickerton Island Airport"
"BDA","L.F. Wade International Airport"
"BDB","Bundaberg Airport"
"BDC","Barra do Corda Airport"
"BDD","Badu Island Airport"
"BDE","Baudette International Airport"
"BDF","Rinkenberger RLA Airport"
"BDG","Blanding Municipal Airport"
"BDH","Bandar Lengeh Airport"
"BDI","Bird Island Airport"
"BDJ","Syamsudin Noor Airport"
"BDK","Soko Airport"
"BDL","Bradley International Airport"
"BDM","Bandirma Airport"
"BDN","Talhar Airport"
"BDO","Husein Sastranegara International Airport"
"BDP","Bhadrapur Airport (Chandragadhi Airport)"
"BDQ","Vadodara Airport (Civil Airport Harni)"
"BDR","Igor I. Sikorsky Memorial Airport"
"BDS","Brindisi - Salento Airport"
"BDT","Gbadolite Airport"
"BDU","Bardufoss Airport"
"BDV","Moba Airport"
"BDW","Bedford Downs Airport"
"BDX","Broadus Airport"
"BDY","Bandon State Airport"
"BDZ","Baindoung Airport"
"BEA","Bereina Airport"
"BEB","Benbecula Airport"
"BEC","Beech Factory Airport"
"BED","Laurence G. Hanscom Field"
"BEE","Beagle Bay Airport"
"BEF","Bluefields Airport"
"BEG","Belgrade Nikola Tesla Airport"
"BEH","Southwest Michigan Regional Airport"
"BEI","Beica Airport"
"BEJ","Kalimarau Airport"
"BEK","Bareilly Airport"
"BEL","Val de Cans International Airport"
"BEM","Beni Mellal Airport"
"BEN","Benina International Airport"
"BEO","Lake Macquarie Airport (Belmont Airport)"
"BEP","Bellary Airport"
"BEQ","RAF Honington"
"BER","Berlin Brandenburg Airport"
"BES","Brest Bretagne Airport"
"BET","Bethel Airport"
"BEU","Bedourie Airport"
"BEV","Beersheba Airport"
"BEW","Beira Airport"
"BEX","RAF Benson"
"BEY","Beirut-Rafic Hariri International Airport / Beirut Air Base"
"BEZ","Beru Island Airport"
"BFA","Bahia Negra Airport"
"BFC","Bloomfield Airport"
"BFD","Bradford Regional Airport"
"BFE","Bielefeld Airport"
