"iata","airport"
"LCL","La Coloma Airport"
"LCM","La Cumbre Airport"
"LCN","Balcanoona Airport"
"LCO","Lague Airport"
"LCP","Loncopue Airport"
"LCQ","Lake City Gateway Airport"
"LCR","La Chorrera Airport"
"LCV","Lucca-Tassignano Airport"
"LCX","Longyan Guanzhishan Airport"
"LCY","London City Airport"
"LDA","Malda Airport"
"LDB","Londrina-Governador Jose Richa Airport"
"LDC","Lindeman Island Airport"
"LDE","Tarbes-Lourdes-Pyrenees Airport"
"LDG","Leshukonskoye Airport"
"LDH","Lord Howe Island Airport"
"LDI","Lindi Airport (Kikwetu Airport)"
"LDJ","Linden Airport"
"LDK","Lidkoping-Hovby Airport"
"LDM","Mason County Airport"
"LDN","Lamidanda Airport"
"LDO","Laduani Airstrip"
"LDR","Lawdar Airport"
"LDS","Yichun Lindu Airport"
"LDU","Lahad Datu Airport"
"LDV","Landivisiau Air Base"
"LDW","Lansdowne Airport"
"LDX","Saint-Laurent-du-Maroni Airport"
"LDY","City of Derry Airport"
"LDZ","Londolozi Airport"
"LEA","RAAF Learmonth (Learmonth Airport)"
"LEB","Lebanon Municipal Airport"
"LEC","Coronel Horacio de Mattos Airport"
"LED","Pulkovo Airport"
"LEE","Leesburg International Airport"
"LEF","Lebakeng Airport"
"LEG","Aleg Airport"
"LEH","Le Havre - Octeville Airport"
"LEI","Almeria Airport"
"LEJ","Leipzig/Halle Airport"
"LEK","Tata Airport"
"LEL","Lake Evella Airport"
"LEM","Lemmon Municipal Airport"
"LEN","Leon Airport"
"LEO","Lekoni Airport"
"LEP","Leopoldina Airport"
"LEQ","Land's End Airport"
"LER","Leinster Airport"
"LES","Lesobeng Airport"
"LET","Alfredo Vasquez Cobo International Airport"
"LEU","Andorra–La Seu d'Urgell Airport"
"LEV","Levuka Airfield (Bureta Airport)"
"LEW","Auburn/Lewiston Municipal Airport"
"LEX","Blue Grass Airport"
"LEY","Lelystad Airport"
"LEZ","La Esperanza Airport"
"LFB","Lumbo Airport"
"LFI","Langley Air Force Base"
"LFK","Angelina County Airport"
"LFM","Lamerd Airport"
"LFN","Triangle North Executive Airport (Franklin County Airport)"
"LFO","Kelafo Airport"
"LFP","Lakefield Airport"
"LFQ","Linfen Qiaoli Airport"
"LFR","La Fria Airport"
"LFT","Lafayette Regional Airport"
"LFW","Lome-Tokoin Airport (Gnassingbe Eyadema Int'l)"
"LGA","LaGuardia Airport"
"LGB","Long Beach Airport"
"LGC","LaGrange Callaway Airport"
"LGD","La Grande/Union County Airport"
"LGE","Lake Gregory Airport"
"LGF","Laguna Army Airfield"
"LGG","Liege Airport"
"LGH","Leigh Creek Airport"
"LGI","Deadman's Cay Airport"
"LGK","Langkawi International Airport"
"LGL","Long Lellang Airport"
"LGM","Laiagam Airport"
"LGN","Linga Linga Airport"
"LGO","Langeoog Airport"
"LGP","Legazpi International Airport"
"LGQ","Lago Agrio Airport"
"LGR","Cochrane Airfield"
"LGS","Comodoro D. Ricardo Salomon Airport"
"LGT","Las Gaviotas Airport"
"LGU","Logan-Cache Airport"
"LGW","Gatwick Airport"
"LGX","Lugh Ganane Airport"
"LGY","Lagunillas Airport"
"LHA","Flughafen Lahr (Lahr Airport)"
"LHB","EG74","Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport)"
"LHE","Allama Iqbal International Airport"
"LHG","Lightning Ridge Airport"
"LHI","Lereh Airport"
"LHK","Laohekou Airport"
"LHP","Lehu Airport"
"LHR","Heathrow Airport"
"LHS","Las Heras Airport"
"LHU","Lianshulu Airport"
"LHV","William T. Piper Memorial Airport"
"LHW","Lanzhou Zhongchuan International Airport"
"LIA","Liangping Airport"
"LIB","Limbunya Airport"
"LIC","Limon Municipal Airport"
"LIE","Libenge Airport"
"LIF","Ouanaham Airport"
"LIG","Limoges - Bellegarde Airport"
"LIH","Lihue Airport"
"LII","Mulia Airport"
"LIK","Likiep Airport"
"LIL","Lille Airport (Lille-Lesquin Airport)"
"LIM","Jorge Chavez International Airport"
"LIN","Milan-Linate Airport"
"LIO","Limon International Airport"
"LIP","Lins Airport"
"LIQ","Lisala Airport"
"LIR","Daniel Oduber Quiros International Airport"
"LIS","Lisbon Portela Airport"
"LIT","Clinton National Airport (Adams Field)"
"LIV","Livengood Camp Airport"
"LIW","Loikaw Airport"
"LIX","Likoma Airport"
"LIY","MidCoast Regional Airport at Wright Army Airfield"
"LIZ","Loring International Airport"
"LJA","Lodja Airport"
"LJG","Lijiang Sanyi Airport"
"LJN","Texas Gulf Coast Regional Airport"
"LJU","Ljubljana Joze Pucnik Airport (Brnik Airport)"
"LKA","Gewayantana Airport"
"LKB","Lakeba Airport"
"LKC","Lekana Airport"
"LKD","Lakeland Downs Airport"
"LKE","Kenmore Air Harbor Seaplane Base (Seattle Lake Union SPB)"
"LKG","Lokichogio Airport"
"LKH","Long Akah Airport"
"LKK","Kulik Lake Airport"
"LKL","Lakselv Airport"
"LKN","Leknes Airport"
"LKO","Chaudhary Charan Singh International Airport"
"LKP","Lake Placid Airport"
"LKR","Las Khorey Airport"
"LKU","Lake Turkana Airport"
"LKV","Lake County Airport"
"LKW","Lekhwair Airport"
"LKY","Lake Manyara Airport"
"LKZ","RAF Lakenheath"
"LLA","Lulea Airport (Kallax Airport)"
"LLB","Libo Airport (Qiannan Airport)"
"LLC","Cagayan North International Airport (Lal-lo Airport)"
"LLE","Malelane Airport"
"LLF","Yongzhou Lingling Airport"
"LLG","Chillagoe Airport"
"LLH","Las Limas Airport"
"LLI","Lalibela Airport"
"LLJ","Silampari Airport"
"LLK","Lankaran International Airport"
"LLL","Lissadell Airport"
"LLN","Kelila Airport"
"LLO","Palopo Lagaligo Airport"
"LLP","Linda Downs Airport"
"LLS","Alferez Armando Rodriguez Airport"
"LLT","Lobito Airport"
"LLV","Luliang Airport"
"LLW","Lilongwe International Airport (Kamuzu Int'l)"
"LLX","Caledonia County Airport"
"LLY","South Jersey Regional Airport"
"LMA","Lake Minchumina Airport"
"LMB","Salima Airport"
"LMC","La Macarena Airport"
"LMD","Los Menucos Airport"
"LME","Le Mans Arnage Airport"
"LMG","Lamassa Airport"
"LMH","Limon Airport"
"LMI","Lumi Airport"
"LML","Lae Airport"
"LMM","Valle del Fuerte Federal International Airport"
"LMN","Limbang Airport"
"LMO","RAF Lossiemouth"
"LMP","Lampedusa Airport"
"LMQ","Marsa Brega Airport"
"LMR","Finsch Mine Airport"
"LMS","Louisville Winston County Airport"
"LMT","Klamath Falls Airport"
"LMX","Lopez de Micay Airport"
"LMY","Lake Murray Airport"
"LMZ","Palma Airport"
"LNA","Palm Beach County Park Airport"
"LNB","Lamen Bay Airport"
"LNC","Lengbati Airport"
"LND","Hunt Field"
"LNE","Lonorore Airport"
"LNF","Munbil Airport"
"LNG","Lese Airport"
"LNH","Lake Nash Airport"
"LNI","Point Lonely Short Range Radar Site"
"LNJ","Lincang Airport"
"LNK","Lincoln Airport"
"LNL","Longnan Chengzhou Airport"
"LNM","Langimar Airport"
"LNN","Lost Nation Airport"
"LNO","Leonora Airport"
"LNP","Lonesome Pine Airport"
"LNQ","Loani Airport"
"LNR","Tri-County Regional Airport"
"LNS","Lancaster Airport"
"LNV","Lihir Island Airport"
"LNX","Smolensk South Airport"
"LNY","Lanai Airport"
"LNZ","Linz Airport (Blue Danube Airport)"
"LOA","Lorraine Airport"
"LOB","San Rafael Airport"
"LOC","Lock Airport"
"LOD","Longana Airport"
"LOE","Loei Airport"
"LOF","Loen Airport"
"LOH","Ciudad de Catamayo Airport"
"LOI","Helmuth Baungartem Airport"
"LOK","Lodwar Airport"
"LOL","Derby Field"
"LOM","Francisco Primo de Verdad National Airport"
"LOO","L'Mekrareg Airport (Laghouat Airport)"
"LOP","Lombok International Airport"
"LOQ","Lobatse Airport"
"LOS","Murtala Muhammed International Airport"
"LOT","Lewis University Airport"
"LOU","Bowman Field"
"LOV","Venustiano Carranza International Airport"
"LOW","Louisa County Airport (Freeman Field)"
"LOX","Los Tablones Airport"
"LOY","Loiyangalani Airport"
"LOZ","London-Corbin Airport (Magee Field)"
"LPA","Gran Canaria Airport"
"LPB","El Alto International Airport"
"LPC","Lompoc Airport"
"LPD","La Pedrera Airport"
"LPE","La Primavera Airport"
"LPF","Liupanshui Yuezhao Airport"
"LPG","La Plata Airport"
"LPI","Linkoping City Airport"
"LPK","Lipetsk Airport"
"LPL","Liverpool John Lennon Airport"
"LPM","Malekoula Airport (Lamap Airport)"
"LPN","Leron Plains Airport"
"LPO","La Porte Municipal Airport"
"LPP","Lappeenranta Airport"
"LPQ","Luang Prabang International Airport"
"LPS","Fishermans Bay/LPS Seaplane Base"
"LPT","Lampang Airport"
"LPU","Long Apung Airport"
"LPX","Liepaja International Airport"
"LPY","Le Puy - Loudes Airport"
"LQK","Pickens County Airport"
"LQM","Caucaya Airport"
"LQN","Qala i Naw Airport"
"LRA","Larissa National Airport"
"LRB","Leribe Airport"
"LRD","Laredo International Airport"
"LRE","Longreach Airport"
"LRF","Little Rock Air Force Base"
"LRG","Loralai Airport"
"LRH","La Rochelle - Ile de Re Airport"
"LRI","Lorica Airport"
"LRJ","Le Mars Municipal Airport"
"LRL","Niamtougou International Airport"
"LRM","La Romana International Airport (Casa de Campo International Airport)"
"LRQ","Laurie River Airport"
"LRR","Larestan International Airport"
"LRS","Leros Municipal Airport"
"LRT","Lorient South Brittany Airport (Lann-Bihoue Airport)"
"LRU","Las Cruces International Airport"
"LRV","Los Roques Airport"
"LSA","Losuia Airport"
"LSB","Lordsburg Municipal Airport"
"LSC","La Florida Airport"
"LSE","La Crosse Regional Airport"
"LSF","Lawson Army Airfield"
"LSH","Lashio Airport"
"LSI","Sumburgh Airport"
"LSJ","Long Island Airport"
"LSK","Lusk Municipal Airport"
"LSL","Los Chiles Airport"
"LSM","Long Semado Airport"
"LSN","Los Banos Municipal Airport"
"LSO","Les Sables-d'Olonne - Talmont Airport"
"LSP","Josefa Camejo International Airport"
"LSQ","Maria Dolores Airport"
"LSS","Les Saintes Airport"
"LST","Launceston Airport"
"LSU","Long Sukang Airport"
"LSV","Nellis Air Force Base"
"LSW","Malikus Saleh Airport"
"LSX","Lhok Sukon Airport"
"LSY","Lismore Airport"
"LSZ","Losinj Airport"
"LTA","Tzaneen Airport (Letaba Airport)"
"LTB","Latrobe Airport"
"LTC","Lai Airport"
"LTD","Ghadames Airport"
"LTF","Leitre Airport"
"LTG","Langtang Airport"
"LTI","Altai Airport"
"LTK","Bassel Al-Assad International Airport"
"LTL","Lastourville Airport"
"LTM","Lethem Airport"
"LTN","London Luton Airport"
"LTO","Loreto International Airport"
"LTP","Lyndhurst Airport"
"LTQ","Le Touquet - Cote d'Opale Airport"
"LTR","Letterkenny Airfield"
"LTS","Altus Air Force Base"
"LTT","La Mole - Saint-Tropez Airport"
"LTU","Latur Airport"
"LTV","Lotus Vale Station Airport"
"LTW","St. Mary's County Regional Airport (Captain Walter Francis Duke Regional Airport)"
"LTX","Cotopaxi International Airport"
"LUA","Tenzing-Hillary Airport"
"LUB","Lumid Pau Airport"
"LUC","Laucala Airport"
"LUD","Luderitz Airport"
"LUE","Bolkovce Airport"
"LUF","Luke Air Force Base"
"LUG","Lugano Airport"
"LUH","Sahnewal Airport (Ludhiana Airport)"
"LUI","La Union Airport"
"LUK","Cincinnati Municipal Airport (Lunken Field)"
"LUL","Hesler-Noble Field"
"LUM","Dehong Mangshi Airport"
"LUN","Kenneth Kaunda International Airport"
"LUO","Luena Airport"
"LUP","Kalaupapa Airport"
"LUQ","Brigadier Mayor Cesar Raul Ojeda Airport"
"LUR","Cape Lisburne LRRS Airport"
"LUS","Lusanga Airport"
"LUT","New Laura Airport"
"LUU","Laura Airport"
"LUV","Karel Sadsuitubun Airport"
"LUW","Syukuran Aminuddin Amir Airport"
"LUX","Luxembourg Findel Airport"
"LUZ","Lublin Airport"
"LVA","Laval Entrammes Airport"
"LVB","Livramento do Brumado Airport"
"LVD","Lime Village Airport"
"LVI","Harry Mwanga Nkumbula International Airport"
"LVK","Livermore Municipal Airport"
"LVL","Lawrenceville/Brunswick Municipal Airport"
"LVM","Mission Field"
"LVO","Laverton Airport"
"LVP","Lavan Airport"
"LVR","Bom Futuro Municipal Airport"
"LVS","Las Vegas Municipal Airport"
"LWA","Lebak Airport"
"LWB","Greenbrier Valley Airport"
"LWC","Lawrence Regional Airport"
"LWE","Wonopito Airport"
"LWH","Lawn Hill Airport"
"LWI","Lowai Airport"
"LWK","Tingwall Airport"
"LWL","Wells Municipal Airport (Harriet Field)"
"LWM","Lawrence Municipal Airport"
"LWN","Gyumri Shirak Airport"
"LWO","Lviv Danylo Halytskyi International Airport"
"LWR","Leeuwarden Air Base"
"LWS","Lewiston-Nez Perce County Airport"
"LWT","Lewistown Municipal Airport"
"LWV","Lawrenceville-Vincennes International Airport"
"LWY","Lawas Airport"
"LXA","Lhasa Gonggar Airport"
"LXG","Louang Namtha Airport"
"LXN","Jim Kelly Field"
"LXR","Luxor International Airport"
"LXS","Lemnos International Airport"
"LXU","Lukulu Airport"
"LXV","Lake County Airport"
"LYA","Luoyang Beijiao Airport"
"LYB","Edward Bodden Airfield"
"LYC","Lycksele Airport"
"LYE","RAF Lyneham"
"LYG","Lianyungang Baitabu Airport"
"LYH","Lynchburg Regional Airport (Preston Glenn Field)"
"LYI","Linyi Shubuling Airport"
"LYK","Lunyuk Airport"
"LYN","Lyon-Bron Airport"
"LYO","Lyons-Rice County Municipal Airport"
"LYP","Faisalabad International Airport"
"LYR","Svalbard Airport"
"LYS","Lyon-Saint-Exupery Airport"
"LYT","Lady Elliot Island Airport"
"LYU","Ely Municipal Airport"
"LYX","Lydd Airport (London Ashford Airport)"
"LZA","Luiza Airport"
"LZC","Lazaro Cardenas Airport"
"LZH","Liuzhou Bailian Airport"
"LZI","Luozi Airport"
"LZM","Cuango-Luzamba Airport"
"LZN","Matsu Nangan Airport"
"LZO","Luzhou Yunlong Airport"
"LZR","Lizard Island Airport"
"LZU","Gwinnett County Airport (Briscoe Field)"
"LZY","Nyingchi Mainling Airport"
"MAA","Chennai International Airport"
"MAB","Joao Correa da Rocha Airport"
"MAC","Macon Downtown Airport"
"MAD","Adolfo Suarez Madrid-Barajas Airport"
"MAE","Madera Municipal Airport"
"MAF","Midland International Air and Space Port"
"MAG","Madang Airport"
"MAH","Menorca Airport (Mahon Airport)"
"MAI","Mangochi Airport"
"MAJ","Marshall Islands International Airport (Amata Kabua Int'l)"
"MAK","Malakal Airport"
"MAL","Mangole Airport"
"MAM","General Servando Canales International Airport"
"MAN","Manchester Airport"
"MAO","Eduardo Gomes International Airport"
"MAP","Mamai Airport"
"MAQ","Mae Sot Airport"
"MAR","La Chinita International Airport"
"MAS","Momote Airport"
"MAT","Matadi Tshimpi Airport"
"MAU","Maupiti Airport"
"MAV","Maloelap Airport"
"MAW","Malden Regional Airport"
"MAX","Ouro Sogui Airport"
"MAY","Clarence A. Bain Airport"
"MAZ","Eugenio Maria de Hostos Airport"
"MBA","Moi International Airport"
"MBB","Marble Bar Airport"
"MBC","Mbigou Airport"
"MBD","Mahikeng Airport (Mmabatho Airport)"
"MBE","Monbetsu Airport"
"MBF","Porepunkah Airfield"
"MBG","Mobridge Municipal Airport"
"MBH","Maryborough Airport"
"MBI","Mbeya Airport"
"MBJ","Sangster International Airport"
"MBK","Orlando Villas-Boas Regional Airport"
"MBL","Manistee County Blacker Airport"
"MBM","Mkambati Airport"
"MBN","Mount Barnett Airport"
"MBO","Mamburao Airport"
"MBP","Moyobamba Airport"
"MBQ","Mbarara Airport"
"MBR","M'Bout Airport"
"MBS","MBS International Airport"
"MBT","Moises R. Espinosa Airport (Masbate Airport)"
"MBU","Mbambanakira Airport"
"MBV","Masa Airport"
"MBW","Moorabbin Airport"
"MBX","Maribor Edvard Rusjan Airport"
"MBY","Omar N. Bradley Airport"
"MBZ","Maues Airport"
"MCA","Macenta Airport"
"MCB","McComb-Pike County Airport (John E. Lewis Field)"
"MCC","McClellan Airfield"
"MCD","Mackinac Island Airport"
"MCE","Merced Regional Airport (MacReady Field)"
"MCF","MacDill Air Force Base"
"MCG","McGrath Airport"
"MCH","General Manuel Serrano Airport"
"MCI","Kansas City International Airport"
"MCJ","Jorge Isaacs Airport (La Mina Airport)"
"MCK","McCook Ben Nelson Regional Airport"
"MCL","McKinley National Park Airport"
"MCN","Middle Georgia Regional Airport"
"MCO","Orlando International Airport"
"MCP","Alberto Alcolumbre International Airport"
"MCQ","Miskolc Airport"
"MCS","Monte Caseros Airport"
"MCT","Muscat International Airport"
"MCU","Montlucon - Gueret Airport"
"MCV","McArthur River Mine Airport"
"MCW","Mason City Municipal Airport"
"MCX","Uytash Airport"
"MCY","Sunshine Coast Airport"
"MCZ","Zumbi dos Palmares International Airport"
"MDB","Melinda Airport"
"MDC","Sam Ratulangi International Airport"
"MDD","Midland Airpark"
"MDE","Jose Maria Cordova International Airport"
"MDF","Taylor County Airport"
"MDG","Mudanjiang Hailang Airport"
"MDH","Southern Illinois Airport"
"MDI","Makurdi Airport"
"MDJ","Madras Municipal Airport"
"MDK","Mbandaka Airport"
"MDL","Mandalay International Airport"
"MDM","Munduku Airport"
"MDN","Madison Municipal Airport"
"MDO","Middleton Island Airport"
"MDP","Mindiptana Airport"
"MDQ","Astor Piazzolla International Airport"
"MDS","Middle Caicos Airport"
"MDT","Harrisburg International Airport"
"MDU","Mendi Airport"
"MDV","Medouneu Airport"
"MDW","Chicago Midway International Airport"
"MDX","Mercedes Airport"
"MDY","Henderson Field"
"MDZ","Gov. Francisco Gabrielli International Airport (El Plumerillo)"
"MEA","Benedito Lacerda Airport"
"MEB","Essendon Airport"
"MEC","Eloy Alfaro International Airport"
"MED","Prince Mohammad bin Abdulaziz Airport"
"MEE","Mare Airport"
"MEF","Melfi Airport"
"MEG","Malanje Airport"
"MEH","Mehamn Airport"
"MEI","Meridian Regional Airport (Key Field)"
"MEJ","Port Meadville Airport"
"MEK","Bassatine Air Base"
"MEL","Melbourne Airport"
"MEM","Memphis International Airport"
"MEN","Brenoux Airport"
"MEO","Dare County Regional Airport"
"MEP","Mersing Airport"
"MEQ","Cut Nyak Dhien Airport"
"MER","Castle Airport"
"MES","Soewondo Air Force Base"
"MET","Moreton Airport"
"MEU","Serra do Areao Airport"
"MEV","Minden-Tahoe Airport"
"MEW","Mweka Airport"
"MEX","Mexico City International Airport"
"MEY","Meghauli Airport"
"MEZ","Messina Airport"
"MFA","Mafia Airport"
"MFB","Monfort Airport"
"MFC","Mafeteng Airport"
"MFD","Mansfield Lahm Regional Airport"
"MFE","McAllen Miller International Airport"
"MFF","Moanda Airport"
"MFG","Muzaffarabad Airport"
"MFH","Mesquite Airport"
"MFI","Marshfield Municipal Airport"
"MFJ","Moala Airport"
"MFK","Matsu Beigan Airport"
"MFL","Mount Full Stop Airport"
"MFM","Macau International Airport"
"MFN","Milford Sound Airport"
"MFO","Manguna Airport"
"MFP","Manners Creek Airport"
"MFQ","Maradi Airport"
"MFR","Rogue Valley International-Medford Airport"
"MFS","Miraflores Airport"
"MFU","Mfuwe Airport"
"MFV","Accomack County Airport"
"MFW","Magaruque Airport"
"MFX","Meribel Altiport"
"MFZ","Meselia Airport"
"MGA","Augusto C. Sandino International Airport"
"MGB","Mount Gambier Airport"
"MGC","Michigan City Municipal Airport"
"MGD","Magdalena Airport"
"MGE","Dobbins Air Reserve Base"
"MGF","Silvio Name Junior Regional Airport"
"MGG","Margarima Airport"
"MGH","Margate Airport"
"MGI","Aransas National Wildlife Refuge Airport"
"MGJ","Orange County Airport"
"MGK","Mong Ton Airport"
"MGL","Dusseldorf Monchengladbach Airport"
"MGM","Montgomery Regional Airport (Dannelly Field)"
"MGN","Baracoa Regional Airport"
"MGO","Manega Airport"
"MGP","Manga Airport"
"MGQ","Aden Adde International Airport"
"MGR","Moultrie Municipal Airport"
"MGS","Mangaia Airport"
"MGT","Milingimbi Airport"
"MGU","Manaung Airport"
"MGV","Margaret River Station Airport"
"MGW","Morgantown Municipal Airport (Walter L. Bill Hart Field)"
"MGX","Moabi Airport"
"MGY","Dayton-Wright Brothers Airport"
"MGZ","Myeik Airport"
"MHA","Mahdia Airport"
"MHC","Mocopulli Airport"
"MHD","Mashhad International Airport (Shahid Hashemi Nejad Airport)"
"MHE","Mitchell Municipal Airport"
"MHF","Morichal Airport"
"MHG","Mannheim City Airport"
"MHH","Marsh Harbour Airport"
"MHI","Moucha Airport"
"MHK","Manhattan Regional Airport"
"MHL","Marshall Memorial Municipal Airport"
"MHN","Hooker County Airport"
"MHO","Mount House Airport"
"MHP","Minsk-1 Airport"
"MHQ","Mariehamn Airport"
"MHR","Sacramento Mather Airport"
"MHS","Dunsmuir Municipal-Mott Airport"
"MHT","Manchester-Boston Regional Airport"
"MHU","Mount Hotham Airport"
"MHV","Mojave Air and Space Port"
"MHW","Monteagudo Airport"
"MHX","Manihiki Island Airport"
"MHY","Morehead Airport"
"MHZ","RAF Mildenhall"
"MIA","Miami International Airport"
"MIB","Minot Air Force Base"
"MIC","Crystal Airport"
"MID","Manuel Crescencio Rejon International Airport"
"MIE","Delaware County Regional Airport"
"MIF","Roy Hurd Memorial Airport"
"MIG","Mianyang Nanjiao Airport"
"MIH","Mitchell Plateau Airport"
"MII","Frank Miloye Milenkowichi-Marilia State Airport"
"MIJ","Mili Airport"
"MIK","Mikkeli Airport"
"MIM","Merimbula Airport"
"MIN","Minnipa Airport"
"MIO","Miami Municipal Airport"
"MIP","Mitzpe Ramon Airport"
"MIQ","Millard Airport"
"MIR","Monastir Habib Bourguiba International Airport"
"MIS","Misima Island Airport"
"MIT","Shafter Airport (Minter Field)"
"MIU","Maiduguri International Airport"
"MIV","Millville Municipal Airport"
"MIW","Marshalltown Municipal Airport"
"MIX","Miriti-Parana Airport"
"MIY","Mittiebah Airport"
"MIZ","Mainoru Airport"
"MJA","Manja Airport"
"MJB","Mejit Airport"
"MJC","Man Airport"
"MJD","Moenjodaro Airport"
"MJE","Majkin Airport"
"MJF","Mosjoen Airport"
"MJI","Mitiga International Airport"
"MJJ","Moki Airport"
"MJK","Shark Bay Airport"
"MJL","Mouila Airport"
"MJM","Mbuji Mayi Airport"
"MJN","Amborovy Airport (Philibert Tsiranana Airport)"
"MJO","Mount Etjo Airport"
"MJP","Manjimup Airport"
"MJQ","Jackson Municipal Airport"
"MJR","Miramar Airport"
"MJS","Maganja da Costa Airport"
"MJT","Mytilene International Airport"
"MJU","Tampa Padang Airport"
"MJV","Murcia-San Javier Airport"
"MJW","Mahenye Airport"
"MJX","Robert J. Miller Air Park (Ocean County Airport)"
"MJZ","Mirny Airport"
"MKA","Marianske Lazne Airport"
"MKB","Mekambo Airport"
"MKC","Charles B. Wheeler Downtown Airport"
"MKE","General Mitchell International Airport"
"MKG","Muskegon County Airport"
"MKH","Mokhotlong Airport"
"MKI","M'Boki Airport"
"MKJ","Makoua Airport"
"MKK","Molokai Airport"
"MKL","McKellar-Sipes Regional Airport"
"MKM","Mukah Airport"
"MKN","Malekolon Airport"
"MKO","Davis Field"
"MKP","Makemo Airport"
"MKQ","Mopah Airport"
"MKR","Meekatharra Airport"
"MKS","Mekane Selam Airport"
"MKT","Mankato Regional Airport"
"MKU","Makokou Airport"
"MKV","Mount Cavenagh Airport"
"MKW","Rendani Airport"
"MKY","Mackay Airport"
"MKZ","Malacca International Airport"
"MLA","Malta International Airport (Luqa Airport)"
"MLB","Orlando Melbourne International Airport"
"MLC","McAlester Regional Airport"
"MLD","Malad City Airport"
"MLE","Velana International Airport"
"MLF","Milford Municipal Airport (Ben and Judy Briscoe Field)"
"MLG","Abdul Rachman Saleh Airport"
"MLI","Quad City International Airport"
"MLJ","Baldwin County Airport"
"MLK","Malta Airport"
"MLL","Marshall Don Hunter Sr. Airport"
"MLM","General Francisco J. Mujica International Airport"
"MLN","Melilla Airport"
"MLO","Milos Island National Airport"
"MLP","Malabang Airport"
"MLQ","Malalaua Airport"
"MLR","Millicent Airport"
"MLS","Miles City Airport (Frank Wiley Field)"
"MLT","Millinocket Municipal Airport"
"MLU","Monroe Regional Airport"
"MLV","Merluna Airport"
"MLW","Spriggs Payne Airport"
"MLX","Malatya Erhac Airport"
"MLY","Manley Hot Springs Airport"
"MLZ","Cerro Largo International Airport"
"MMB","Memanbetsu Airport"
"MMC","Ciudad Mante National Airport"
"MMD","Minami-Daito Airport"
"MME","Teesside International Airport"
"MMF","Mamfe Airport"
"MMG","Mount Magnet Airport"
"MMH","Mammoth Yosemite Airport"
"MMI","McMinn County Airport"
"MMJ","Matsumoto Airport"
"MMK","Murmansk Airport"
"MML","Southwest Minnesota Regional Airport (Marshall/Ryan Field)"
"MMM","Middlemount Airport"
"MMN","Minute Man Air Field"
"MMO","Maio Airport"
"MMP","San Bernardo Airport"
"MMQ","Mbala Airport"
"MMS","Selfs Airport"
"MMT","McEntire Joint National Guard Base"
"MMU","Morristown Municipal Airport"
"MMV","Mal Island Airport"
"MMW","Moma Airport"
"MMY","Miyako Airport"
"MMZ","Maymana Airport"
"MNA","Melangguane Airport"
"MNB","Muanda Airport (Moanda Airport)"
"MNC","Nacala Airport"
"MND","Medina Airport"
"MNE","Mungeranie Airport"
"MNF","Mana Island Airport"
"MNG","Maningrida Airport"
"MNH","Al-Musannah Airport"
"MNI","John A. Osborne Airport"
"MNJ","Mananjary Airport"
"MNK","Maiana Airport"
"MNL","Ninoy Aquino International Airport / Villamor Air Base"
"MNM","Menominee-Marinette Twin County Airport"
"MNN","Marion Municipal Airport"
"MNO","Manono Airport"
"MNP","Maron Island Airport"
"MNQ","Monto Airport"
"MNR","Mongu Airport"
"MNS","Mansa Airport"
"MNT","Minto Al Wright Airport"
"MNU","Mawlamyaing Airport"
"MNV","Mount Valley Airport"
"MNW","MacDonald Downs Airport"
"MNX","Manicore Airport"
"MNY","Mono Airport"
"MNZ","Manassas Regional Airport"
"MOA","Orestes Acosta Airport"
"MOB","Mobile Regional Airport"
"MOC","Montes Claros/Mario Ribeiro Airport"
"MOD","Modesto City-County Airport (Harry Sham Field)"
"MOE","Momeik Airport"
"MOF","Frans Seda Airport (Wai Oti Airport)"
"MOG","Monghsat Airport"
"MOH","Maleo Airport"
"MOI","Mitiaro Airport (Nukuroa Airport)"
"MOJ","Moengo Airstrip"
"MOL","Molde Airport"
"MOM","Letfotar Airport"
"MON","Mount Cook Aerodrome"
"MOO","Moomba Airport"
"MOP","Mount Pleasant Municipal Airport"
"MOQ","Morondava Airport"
"MOR","Morristown Regional Airport (Moore-Murrell Airport)"
"MOS","Moses Point Airport"
"MOT","Minot International Airport"
"MOU","Mountain Village Airport"
"MOV","Moranbah Airport"
"MOX","Morris Municipal Airport"
"MOY","Monterrey Airport"
"MOZ","Moorea Airport (Temae Airport)"
"MPA","Katima Mulilo Airport (Mpacha Airport)"
"MPB","Miami Seaplane Base"
"MPC","Muko-Muko Airport"
"MPD","Sindhri Airport"
"MPF","Mapoda Airport"
"MPG","Makini Airport"
"MPH","Godofredo P. Ramos Airport (Caticlan Airport)"
"MPI","Mamitupo Airport"
"MPJ","Petit Jean Park Airport"
"MPL","Montpellier-Mediterranee Airport (Frejorgues Airport)"
"MPM","Maputo International Airport"
"MPN","RAF Mount Pleasant"
"MPO","Pocono Mountains Municipal Airport"
"MPP","Mulatupo Airport"
"MPQ","Ma'an Airport"
"MPR","McPherson Airport"
"MPS","Mount Pleasant Regional Airport"
"MPT","Maliana Airport"
"MPU","Mabua Airstrip"
"MPV","Edward F. Knapp State Airport"
"MPW","Mariupol International Airport"
"MPX","Miyanmin Airport"
"MPY","Maripasoula Airport"
"MPZ","Mount Pleasant Municipal Airport"
"MQA","Mandora Station Airport"
"MQB","Macomb Municipal Airport"
"MQC","Miquelon Airport"
